MUN,NEW,4105,18,10260,10261,3,1,2014-12-26 00:00:00,2014/2015
SUN,HUL,4106,18,8472,8667,1,3,2014-12-26 00:00:00,2014/2015
SWA,AVL,4107,18,10003,10252,1,0,2014-12-26 00:00:00,2014/2015
WBA,MCI,4108,18,8659,8456,1,3,2014-12-26 00:00:00,2014/2015
STK,CHE,4096,17,10194,8455,0,2,2014-12-22 00:00:00,2014/2015
LIV,ARS,4091,17,8650,9825,2,2,2014-12-21 00:00:00,2014/2015
NEW,SUN,4093,17,10261,8472,0,1,2014-12-21 00:00:00,2014/2015
AVL,MUN,4089,17,10252,10260,1,1,2014-12-20 00:00:00,2014/2015
HUL,SWA,4090,17,8667,10003,0,1,2014-12-20 00:00:00,2014/2015
MCI,CRY,4092,17,8456,9826,3,0,2014-12-20 00:00:00,2014/2015
QPR,WBA,4094,17,10172,8659,3,2,2014-12-20 00:00:00,2014/2015
SOU,EVE,4095,17,8466,8668,3,0,2014-12-20 00:00:00,2014/2015
TOT,BUR,4097,17,8586,8191,2,1,2014-12-20 00:00:00,2014/2015
WHU,LEI,4098,17,8654,8197,2,0,2014-12-20 00:00:00,2014/2015
EVE,QPR,4083,16,8668,10172,3,1,2014-12-15 00:00:00,2014/2015
MUN,LIV,4085,16,10260,8650,3,0,2014-12-14 00:00:00,2014/2015
SWA,TOT,4087,16,10003,8586,1,2,2014-12-14 00:00:00,2014/2015
ARS,NEW,4079,16,9825,10261,4,1,2014-12-13 00:00:00,2014/2015
BUR,SOU,4080,16,8191,8466,1,0,2014-12-13 00:00:00,2014/2015
CHE,HUL,4081,16,8455,8667,2,0,2014-12-13 00:00:00,2014/2015
CRY,STK,4082,16,9826,10194,1,1,2014-12-13 00:00:00,2014/2015
LEI,MCI,4084,16,8197,8456,0,1,2014-12-13 00:00:00,2014/2015
SUN,WHU,4086,16,8472,8654,1,1,2014-12-13 00:00:00,2014/2015
WBA,AVL,4088,16,8659,10252,1,0,2014-12-13 00:00:00,2014/2015
SOU,MUN,4075,15,8466,10260,1,2,2014-12-08 00:00:00,2014/2015
AVL,LEI,4069,15,10252,8197,2,1,2014-12-07 00:00:00,2014/2015
WHU,SWA,4078,15,8654,10003,3,1,2014-12-07 00:00:00,2014/2015
HUL,WBA,4070,15,8667,8659,0,0,2014-12-06 00:00:00,2014/2015
LIV,SUN,4071,15,8650,8472,0,0,2014-12-06 00:00:00,2014/2015
MCI,EVE,4072,15,8456,8668,1,0,2014-12-06 00:00:00,2014/2015
NEW,CHE,4073,15,10261,8455,2,1,2014-12-06 00:00:00,2014/2015
QPR,BUR,4074,15,10172,8191,2,0,2014-12-06 00:00:00,2014/2015
STK,ARS,4076,15,10194,9825,3,2,2014-12-06 00:00:00,2014/2015
TOT,CRY,4077,15,8586,9826,0,0,2014-12-06 00:00:00,2014/2015
ARS,SOU,4059,14,9825,8466,1,0,2014-12-03 00:00:00,2014/2015
CHE,TOT,4066,14,8455,8586,3,0,2014-12-03 00:00:00,2014/2015
EVE,HUL,4067,14,8668,8667,1,1,2014-12-03 00:00:00,2014/2015
SUN,MCI,4068,14,8472,8456,1,4,2014-12-03 00:00:00,2014/2015
BUR,NEW,4060,14,8191,10261,1,1,2014-12-02 00:00:00,2014/2015
LEI,LIV,4061,14,8197,8650,1,3,2014-12-02 00:00:00,2014/2015
MUN,STK,4062,14,10260,10194,2,1,2014-12-02 00:00:00,2014/2015
SWA,QPR,4063,14,10003,10172,2,0,2014-12-02 00:00:00,2014/2015
CRY,AVL,4064,14,9826,10252,0,1,2014-12-02 00:00:00,2014/2015
WBA,WHU,4065,14,8659,8654,1,2,2014-12-02 00:00:00,2014/2015
SOU,MCI,4053,13,8466,8456,0,3,2014-11-30 00:00:00,2014/2015
TOT,EVE,4056,13,8586,8668,2,1,2014-11-30 00:00:00,2014/2015
BUR,AVL,4049,13,8191,10252,1,1,2014-11-29 00:00:00,2014/2015
LIV,STK,4050,13,8650,10194,1,0,2014-11-29 00:00:00,2014/2015
MUN,HUL,4051,13,10260,8667,3,0,2014-11-29 00:00:00,2014/2015
QPR,LEI,4052,13,10172,8197,3,2,2014-11-29 00:00:00,2014/2015
SUN,CHE,4054,13,8472,8455,0,0,2014-11-29 00:00:00,2014/2015
SWA,CRY,4055,13,10003,9826,1,1,2014-11-29 00:00:00,2014/2015
WBA,ARS,4057,13,8659,9825,0,1,2014-11-29 00:00:00,2014/2015
WHU,NEW,4058,13,8654,10261,1,0,2014-11-29 00:00:00,2014/2015
AVL,SOU,4040,12,10252,8466,1,1,2014-11-24 00:00:00,2014/2015
CRY,LIV,4042,12,9826,8650,3,1,2014-11-23 00:00:00,2014/2015
HUL,TOT,4044,12,8667,8586,1,2,2014-11-23 00:00:00,2014/2015
ARS,MUN,4039,12,9825,10260,1,2,2014-11-22 00:00:00,2014/2015
CHE,WBA,4041,12,8455,8659,2,0,2014-11-22 00:00:00,2014/2015
EVE,WHU,4043,12,8668,8654,2,1,2014-11-22 00:00:00,2014/2015
LEI,SUN,4045,12,8197,8472,0,0,2014-11-22 00:00:00,2014/2015
MCI,SWA,4046,12,8456,10003,2,1,2014-11-22 00:00:00,2014/2015
NEW,QPR,4047,12,10261,10172,1,0,2014-11-22 00:00:00,2014/2015
STK,BUR,4048,12,10194,8191,1,2,2014-11-22 00:00:00,2014/2015
SUN,EVE,4034,11,8472,8668,1,1,2014-11-09 00:00:00,2014/2015
SWA,ARS,4035,11,10003,9825,2,1,2014-11-09 00:00:00,2014/2015
TOT,STK,4036,11,8586,10194,1,2,2014-11-09 00:00:00,2014/2015
WBA,NEW,4037,11,8659,10261,0,2,2014-11-09 00:00:00,2014/2015
BUR,HUL,4029,11,8191,8667,1,0,2014-11-08 00:00:00,2014/2015
LIV,CHE,4030,11,8650,8455,1,2,2014-11-08 00:00:00,2014/2015
MUN,CRY,4031,11,10260,9826,1,0,2014-11-08 00:00:00,2014/2015
QPR,MCI,4032,11,10172,8456,2,2,2014-11-08 00:00:00,2014/2015
SOU,LEI,4033,11,8466,8197,2,0,2014-11-08 00:00:00,2014/2015
WHU,AVL,4038,11,8654,10252,0,0,2014-11-08 00:00:00,2014/2015
CRY,SUN,4022,10,9826,8472,1,3,2014-11-03 00:00:00,2014/2015
AVL,TOT,4020,10,10252,8586,1,2,2014-11-02 00:00:00,2014/2015
MCI,MUN,4026,10,8456,10260,1,0,2014-11-02 00:00:00,2014/2015
ARS,BUR,4019,10,9825,8191,3,0,2014-11-01 00:00:00,2014/2015
CHE,QPR,4021,10,8455,10172,2,1,2014-11-01 00:00:00,2014/2015
EVE,SWA,4023,10,8668,10003,0,0,2014-11-01 00:00:00,2014/2015
HUL,SOU,4024,10,8667,8466,0,1,2014-11-01 00:00:00,2014/2015
LEI,WBA,4025,10,8197,8659,0,1,2014-11-01 00:00:00,2014/2015
NEW,LIV,4027,10,10261,8650,1,0,2014-11-01 00:00:00,2014/2015
STK,WHU,4028,10,10194,8654,2,2,2014-11-01 00:00:00,2014/2015
QPR,AVL,4382,9,10172,10252,2,0,2014-10-27 00:00:00,2014/2015
BUR,EVE,4379,9,8191,8668,1,3,2014-10-26 00:00:00,2014/2015
MUN,CHE,4381,9,10260,8455,1,1,2014-10-26 00:00:00,2014/2015
TOT,NEW,4386,9,8586,10261,1,2,2014-10-26 00:00:00,2014/2015
LIV,HUL,4380,9,8650,8667,0,0,2014-10-25 00:00:00,2014/2015
SOU,STK,4383,9,8466,10194,1,0,2014-10-25 00:00:00,2014/2015
SUN,ARS,4384,9,8472,9825,0,2,2014-10-25 00:00:00,2014/2015
SWA,LEI,4385,9,10003,8197,2,0,2014-10-25 00:00:00,2014/2015
WBA,CRY,4387,9,8659,9826,2,2,2014-10-25 00:00:00,2014/2015
WHU,MCI,4388,9,8654,8456,2,1,2014-10-25 00:00:00,2014/2015
WBA,MUN,4378,8,8659,10260,2,2,2014-10-20 00:00:00,2014/2015
QPR,LIV,4375,8,10172,8650,2,3,2014-10-19 00:00:00,2014/2015
STK,SWA,4377,8,10194,10003,2,1,2014-10-19 00:00:00,2014/2015
ARS,HUL,4369,8,9825,8667,2,2,2014-10-18 00:00:00,2014/2015
BUR,WHU,4370,8,8191,8654,1,3,2014-10-18 00:00:00,2014/2015
CRY,CHE,4371,8,9826,8455,1,2,2014-10-18 00:00:00,2014/2015
EVE,AVL,4372,8,8668,10252,3,0,2014-10-18 00:00:00,2014/2015
MCI,TOT,4373,8,8456,8586,4,1,2014-10-18 00:00:00,2014/2015
NEW,LEI,4374,8,10261,8197,1,0,2014-10-18 00:00:00,2014/2015
SOU,SUN,4376,8,8466,8472,8,0,2014-10-18 00:00:00,2014/2015
CHE,ARS,4360,7,8455,9825,2,0,2014-10-05 00:00:00,2014/2015
MUN,EVE,4364,7,10260,8668,2,1,2014-10-05 00:00:00,2014/2015
TOT,SOU,4367,7,8586,8466,1,0,2014-10-05 00:00:00,2014/2015
WHU,QPR,4368,7,8654,10172,2,0,2014-10-05 00:00:00,2014/2015
AVL,MCI,4359,7,10252,8456,0,2,2014-10-04 00:00:00,2014/2015
HUL,CRY,4361,7,8667,9826,2,0,2014-10-04 00:00:00,2014/2015
LEI,BUR,4362,7,8197,8191,2,2,2014-10-04 00:00:00,2014/2015
LIV,WBA,4363,7,8650,8659,2,1,2014-10-04 00:00:00,2014/2015
SUN,STK,4365,7,8472,10194,3,1,2014-10-04 00:00:00,2014/2015
SWA,NEW,4366,7,10003,10261,2,2,2014-10-04 00:00:00,2014/2015
STK,NEW,4356,6,10194,10261,1,0,2014-09-29 00:00:00,2014/2015
WBA,BUR,4358,6,8659,8191,4,0,2014-09-28 00:00:00,2014/2015
ARS,TOT,4349,6,9825,8586,1,1,2014-09-27 00:00:00,2014/2015
CHE,AVL,4350,6,8455,10252,3,0,2014-09-27 00:00:00,2014/2015
CRY,LEI,4351,6,9826,8197,2,0,2014-09-27 00:00:00,2014/2015
HUL,MCI,4352,6,8667,8456,2,4,2014-09-27 00:00:00,2014/2015
LIV,EVE,4353,6,8650,8668,1,1,2014-09-27 00:00:00,2014/2015
MUN,WHU,4354,6,10260,8654,2,1,2014-09-27 00:00:00,2014/2015
SOU,QPR,4355,6,8466,10172,2,1,2014-09-27 00:00:00,2014/2015
SUN,SWA,4357,6,8472,10003,0,0,2014-09-27 00:00:00,2014/2015
EVE,CRY,4341,5,8668,9826,2,3,2014-09-21 00:00:00,2014/2015
LEI,MUN,4342,5,8197,10260,5,3,2014-09-21 00:00:00,2014/2015
MCI,CHE,4343,5,8456,8455,1,1,2014-09-21 00:00:00,2014/2015
TOT,WBA,4347,5,8586,8659,0,1,2014-09-21 00:00:00,2014/2015
